iter	Passed	Remaining
868	1368	206
869	1369	204
870	1371	203
871	1372	201
872	1373	199
873	1374	198
874	1375	196
875	1376	195
876	1377	193
877	1379	191
878	1380	190
879	1381	188
880	1382	186
881	1383	185
882	1384	183
883	1385	182
884	1386	180
885	1387	178
886	1388	177
887	1390	175
888	1391	173
889	1392	172
890	1394	170
891	1395	169
892	1396	167
893	1397	165
894	1398	164
895	1400	162
896	1401	161
897	1402	159
898	1403	157
899	1405	156
900	1406	154
901	1407	153
902	1409	151
903	1410	149
904	1411	148
905	1412	146
906	1413	145
907	1414	143
908	1416	141
909	1417	140
910	1418	138
911	1419	137
912	1420	135
913	1421	133
914	1423	132
915	1424	130
916	1425	129
917	1427	127
918	1428	126
919	1429	124
920	1431	122
921	1432	121
922	1433	119
923	1434	118
924	1436	116
925	1437	114
926	1438	113
927	1439	111
928	1441	110
929	1442	108
930	1443	107
931	1444	105
932	1446	103
933	1447	102
934	1449	100
935	1450	99
936	1451	97
937	1452	96
938	1453	94
939	1454	92
940	1456	91
941	1457	89
942	1458	88
943	1459	86
944	1460	85
945	1462	83
946	1463	81
947	1464	80
948	1465	78
949	1466	77
950	1467	75
951	1468	74
952	1469	72
953	1471	71
954	1472	69
955	1473	67
956	1474	66
957	1476	64
958	1477	63
959	1478	61
960	1479	60
961	1481	58
962	1482	57
963	1483	55
964	1484	53
965	1485	52
966	1487	50
967	1488	49
968	1489	47
969	1490	46
970	1491	44
971	1492	43
972	1493	41
973	1495	39
974	1496	38
975	1497	36
976	1498	35
977	1499	33
978	1509	32
979	1511	30
980	1512	29
981	1514	27
982	1515	26
983	1516	24
984	1518	23
985	1519	21
986	1520	20
987	1521	18
988	1523	16
989	1524	15
990	1525	13
991	1526	12
992	1528	10
993	1529	9
994	1530	7
995	1531	6
996	1532	4
997	1533	3
998	1534	1
999	1536	0
